Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,5.3000000116298905e-05,7.999999070307239e-07,0.00010829999991983641,0.00016209999994316605,0.00010909999982686714,2022-03-27T01:12:28
2,2,5.959999944025185e-05,1.4000004739500583e-06,0.00011759999979403802,0.00017859999970823993,0.00011900000026798807,2022-03-27T01:12:28
4,2,7.670000013604295e-05,1.3000000762986019e-06,0.00011040000026696362,0.00018840000047930515,0.00011170000034326222,2022-03-27T01:12:28
8,2,0.00011420000009820797,1.4999997802078723e-06,0.00010630000033415855,0.0002220000002125744,0.00010780000011436642,2022-03-27T01:12:28
16,3,0.00017670000088401138,1.8999988242285327e-06,0.0001290000003791647,0.00030760000008740463,0.00013089999920339325,2022-03-27T01:12:28
32,3,0.00030849999966449105,2.0000006770715117e-06,0.00013600000020232982,0.00044650000054389236,0.00013800000087940134,2022-03-27T01:12:28
64,3,0.0005669000005582347,1.6999994841171428e-06,0.00016769999965617898,0.0007362999996985309,0.00016939999914029612,2022-03-27T01:12:28
128,3,0.0011055999995733146,1.8000006093643607e-06,0.00023499999988416676,0.0013424000000668457,0.00023680000049353112,2022-03-27T01:12:28
256,7,0.002161999999952968,3.300000753370114e-06,0.00046710000024177136,0.0026324000009481092,0.00047040000099514146,2022-03-27T01:12:28
512,12,0.004269600000043283,6.3999992562457916e-06,0.0009237999998731539,0.005199799999172684,0.0009301999991293997,2022-03-27T01:12:28
1024,22,0.008658900000227732,1.6099999265861696e-05,0.0018294000004971168,0.01050439999999071,0.0018454999997629786,2022-03-27T01:12:28
2048,41,0.033053799999470355,2.77000006462913e-05,0.009462799999528215,0.04254429999964486,0.009490500000174505,2022-03-27T01:12:28
4096,71,0.034261400000104913,5.060000039520673e-05,0.007184599999527563,0.04149660000002769,0.00723519999992277,2022-03-27T01:12:28
8192,137,0.06778379999996105,8.409999973082449e-05,0.014317099999971106,0.08218499999966299,0.01440119999970193,2022-03-27T01:12:28
16384,278,0.13692750000009254,0.0001741999996738741,0.028585400000520168,0.1656871000002866,0.028759600000194042,2022-03-27T01:12:28
32768,640,0.2708780000004481,0.0004627999998774612,0.05750819999957457,0.32884899999990014,0.05797099999945203,2022-03-27T01:12:28
65536,1229,0.5413876000002347,0.0008866000000125496,0.11465750000024855,0.6569317000004957,0.1155441000002611,2022-03-27T01:12:28
131072,2509,1.081301899999744,0.003257600000142702,0.22976599999965402,1.3143254999995406,0.23302359999979672,2022-03-27T01:12:28
262144,4903,2.17448570000015,0.005311199999778182,0.45907490000026885,2.638871800000197,0.46438610000004704,2022-03-27T01:12:28
524288,10088,4.3528862999999545,0.00962580000013986,0.9187621000000945,5.281274200000189,0.9283879000002344,2022-03-27T01:12:28
1048576,20201,8.708525099998951,0.017842899999232033,1.8516880999999557,10.57805609999814,1.8695309999991876,2022-03-27T01:12:28
2097246,39631,17.560848899998746,0.03933799999940675,4.0741108999998685,21.674297799998023,4.113448899999275,2022-03-27T01:12:28
4194402,66713,35.05400589999954,0.07550819999996747,7.533380999999645,42.66289509999915,7.608889199999613,2022-03-27T01:12:28
