Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,4.119999975955579e-05,4.999999873689376e-07,8.649999999761348e-05,0.0001281999997445382,8.699999998498242e-05,2022-04-06T23:52:23
2,2,5.199999995966209e-05,9.999999747378752e-07,9.250000020983861e-05,0.00014550000014423858,9.350000018457648e-05,2022-04-06T23:45:35
4,2,6.289999982982409e-05,1.1000000085914508e-06,9.270000000469736e-05,0.0001566999998431129,9.380000001328881e-05,2022-04-06T22:31:28
8,2,9.329999984402093e-05,1.3000002581975422e-06,0.00011499999991428921,0.00020960000001650768,0.00011630000017248676,2022-04-06T22:51:12
16,3,0.0001433000001270557,1.5999999959603884e-06,0.00011860000013257377,0.00026350000025558983,0.00012020000012853415,2022-04-06T23:52:27
32,3,0.00023489999966841424,1.6000001778593287e-06,0.00011139999951410573,0.0003478999993603793,0.00011299999969196505,2022-04-06T23:52:36
64,3,0.00043719999994209504,1.199999860546086e-06,0.0001317000002018176,0.0005701000000044587,0.0001329000000623637,2022-04-06T22:51:12
128,3,0.000822600000356033,1.2999997125007213e-06,0.00018029999991995283,0.0010041999999884864,0.00018159999963245356,2022-04-06T23:52:22
256,7,0.0016276999998808606,3.3999996958300473e-06,0.0004108000000996981,0.0020418999996763888,0.00041419999979552813,2022-04-06T23:52:23
512,12,0.0031579000001329405,6.599999869649764e-06,0.0007148999999117223,0.0038793999999143123,0.0007214999997813721,2022-04-06T22:31:28
1024,22,0.0062281000000439235,1.790000014807447e-05,0.0014230999998289917,0.00766910000002099,0.001440999999977066,2022-04-06T22:53:12
2048,41,0.03310459999975137,6.299999995462713e-05,0.007686000000012428,0.040853599999718423,0.007748999999967055,2022-04-06T22:31:28
4096,71,0.024922500000138827,0.00018039999977190747,0.005433199999788485,0.03053609999969922,0.005613599999560392,2022-04-06T23:52:23
8192,137,0.05004739999967569,0.0006487999999080785,0.01095770000010816,0.061653899999691925,0.01160650000001624,2022-04-06T23:52:36
16384,278,0.0992220999998608,0.0027178000002095358,0.021484700000110026,0.12342460000018035,0.024202500000319562,2022-04-06T23:45:35
32768,640,0.19865759999975124,0.014942100000371283,0.04313529999981256,0.2567349999999351,0.05807740000018384,2022-04-06T23:52:27
65536,1229,0.3981825000002573,0.05661989999989601,0.085964999999851,0.5407674000000043,0.142584899999747,2022-04-06T23:52:35
131072,2509,0.7971435000001292,0.2421292999997604,0.1725605000001451,1.2118333000000348,0.4146897999999055,2022-04-06T23:52:54
262144,4903,1.602108600000247,0.9532183000002987,0.34419870000019726,2.899525600000743,1.2974170000004959,2022-04-06T23:46:18
524288,10088,3.2092701999999917,4.074845000000096,0.6869260999999824,7.97104130000007,4.761771100000078,2022-04-06T22:53:11
1048576,20201,6.422995400000036,16.449271200000112,1.3847470999999132,24.257013700000062,17.834018300000025,2022-04-06T23:52:22
2097246,39631,13.006457599999885,62.795144600000185,3.0602411000000758,78.86184330000015,65.85538570000026,2022-04-06T22:51:12
4194402,66713,25.89760750000041,177.78325489999952,5.641960800000379,209.32282320000033,183.4252156999999,2022-04-06T23:45:33
