Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,3.9499999911640773e-05,3.9999977161642166e-07,8.500000039930455e-05,0.00012490000008256175,8.540000017092098e-05,2022-04-07T00:08:22
2,2,4.839999983232701e-05,1.700000029813964e-06,9.330000011686934e-05,0.00014339999997901032,9.50000001466833e-05,2022-04-07T00:05:54
4,2,6.180000018503051e-05,1.4000001101521774e-06,9.239999999408611e-05,0.0001556000002892688,9.380000010423829e-05,2022-04-06T23:52:54
8,2,9.910000026138732e-05,1.09999964479357e-06,9.279999976570252e-05,0.00019299999967188343,9.38999994104961e-05,2022-04-06T23:56:57
16,3,0.00013830000007146736,2.299999869137537e-06,0.00010730000012699747,0.00024790000006760234,0.000109599999996135,2022-04-07T00:08:26
32,3,0.00023870000022725436,2.2999996872385963e-06,0.00012000000006082701,0.00036099999997532,0.0001222999997480656,2022-04-07T00:08:34
64,3,0.0004384000003483379,1.8999999156221747e-06,0.0001317000002018176,0.0005720000004657777,0.00013360000011743977,2022-04-06T23:56:57
128,3,0.0008141000002069631,2.199999653385021e-06,0.0001855000000432483,0.0010017999999035964,0.0001876999996966333,2022-04-07T00:08:22
256,7,0.0015904000001683016,5.200000123295467e-06,0.00037579999971057985,0.001971400000002177,0.00038099999983387534,2022-04-07T00:08:22
512,12,0.0031882999997833394,9.699999827716965e-06,0.0007199000001492095,0.003917899999760266,0.0007295999999769265,2022-04-06T23:52:54
1024,22,0.006280400000105146,1.939999983733287e-05,0.0014272999998865999,0.007727099999829078,0.0014466999997239328,2022-04-06T23:57:56
2048,41,0.03454860000019835,3.8099999983387534e-05,0.007053799999994226,0.04164050000017596,0.007091899999977613,2022-04-06T23:52:54
4096,71,0.024584399999548624,6.549999998242128e-05,0.0053577000002405836,0.03000759999977163,0.005423200000223005,2022-04-07T00:08:22
8192,137,0.04996380000047793,0.00013620000008813805,0.010922600000048988,0.06102260000061506,0.011058800000137125,2022-04-07T00:08:34
16384,278,0.09831450000019686,0.00029820000017934947,0.02142660000008618,0.1200393000004624,0.02172480000026553,2022-04-07T00:05:54
32768,640,0.19811329999974986,0.0007592000001750421,0.04304950000023382,0.24192200000015873,0.04380870000040886,2022-04-07T00:08:26
65536,1229,0.39933969999983676,0.0015729999997347477,0.08559750000003988,0.4865101999996114,0.08717049999977462,2022-04-07T00:08:33
131072,2509,0.7993990999999369,0.0034722999998848536,0.1719191000000137,0.9747904999998354,0.17539139999989856,2022-04-07T00:08:49
262144,4903,1.5982931000000462,0.007252100000005157,0.3437924000001658,1.9493376000002172,0.35104450000017096,2022-04-07T00:06:24
524288,10088,3.2241198000003353,0.016067300000213437,0.6889365999999427,3.9291237000004915,0.7050039000001561,2022-04-06T23:57:56
1048576,20201,6.438892800000031,0.03404160000009142,1.385722199999691,7.858656599999813,1.4197637999997823,2022-04-07T00:08:22
2097246,39631,13.067616500000259,0.07140250000011292,3.058417999999983,16.197437000000356,3.129820500000096,2022-04-06T23:56:57
4194402,66713,25.969033799999853,0.12508179999931598,5.635905700000149,31.730021299999315,5.760987499999465,2022-04-07T00:05:53
